section,area_id,order,status,name_en,name_ar
exercise,neck,1,published,Neck,الرقبة
stretching,neck,1,published,Neck,الرقبة
exercise,shoulder,2,published,Shoulder,الكتف
stretching,shoulder,2,published,Shoulder,الكتف
exercise,lower-back,3,draft,Lower Back,
stretching,lower-back,3,draft,Lower Back,
exercise,knee,4,draft,Knee,
stretching,knee,4,draft,Knee,
exercise,hip,5,draft,Hip,
stretching,hip,5,draft,Hip,
exercise,ankle,6,draft,Ankle,
stretching,ankle,6,draft,Ankle,
exercise,wrist,7,draft,Wrist,
stretching,wrist,7,draft,Wrist,
exercise,elbow,8,draft,Elbow,
stretching,elbow,8,draft,Elbow,
